Question,Response,Emotion,Dialogue Act,Conversation Type
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,anger,question,work
What's been bothering you lately?,I'd say start with something like Spanish.,fear,directive,culture & education
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",surprise,question,politics
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",sadness,directive,school life
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",anger,question,attitude & emotion
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",disgust,directive,work
Have you ever been to Paris?,I've just had a lot on my mind recently.,surprise,question,politics
What's been bothering you lately?,"Sure, let's go over the details.",anger,directive,tourism
What's been bothering you lately?,It's challenging but rewarding.,fear,directive,health
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",anger,inform,culture & education
Why do you seem so distant these days?,"If we push hard, we definitely can.",happiness,commissive,work
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",surprise,question,school life
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,surprise,directive,attitude & emotion
Why didn't you call me back last night?,"If we push hard, we definitely can.",surprise,commissive,relationship
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",sadness,commissive,politics
What's been bothering you lately?,It's challenging but rewarding.,surprise,question,tourism
Do you think we'll finish this task on time?,It's challenging but rewarding.,happiness,commissive,health
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,surprise,commissive,finance
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,happiness,question,work
Why didn't you call me back last night?,I'd say start with something like Spanish.,sadness,directive,work
Do you think we'll finish this task on time?,It's challenging but rewarding.,anger,inform,attitude & emotion
What are your plans for the weekend?,"I'm not sure, maybe it's just stress.",disgust,question,relationship
What's been bothering you lately?,I'd say start with something like Spanish.,anger,inform,attitude & emotion
Why do you seem so distant these days?,It's challenging but rewarding.,anger,question,finance
Have you ever been to Paris?,"If we push hard, we definitely can.",happiness,question,school life
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,surprise,question,school life
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.,happiness,question,ordinary life
What's been bothering you lately?,I've just had a lot on my mind recently.,surprise,question,culture & education
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",happiness,directive,politics
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.,surprise,question,health
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",fear,question,relationship
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",fear,directive,health
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",surprise,commissive,work
What's been bothering you lately?,It's challenging but rewarding.,happiness,question,school life
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",sadness,commissive,tourism
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",happiness,directive,health
Could you share your thoughts on the recent elections?,I've just had a lot on my mind recently.,happiness,question,attitude & emotion
Why didn't you call me back last night?,I'd say start with something like Spanish.,fear,commissive,tourism
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",sadness,inform,school life
What are your plans for the weekend?,"Sure, let's go over the details.",fear,directive,finance
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",happiness,inform,work
Have you ever been to Paris?,"If we push hard, we definitely can.",surprise,question,work
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",happiness,commissive,politics
Have you ever been to Paris?,I'd say start with something like Spanish.,anger,commissive,relationship
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",happiness,commissive,school life
"I heard you got a new job, how is it going?","I'm thinking of a road trip, actually.",anger,directive,culture & education
Why didn't you call me back last night?,"If we push hard, we definitely can.",sadness,directive,tourism
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",fear,directive,politics
Can we talk about that project now?,"If we push hard, we definitely can.",fear,inform,ordinary life
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,sadness,question,attitude & emotion
Why do you seem so distant these days?,I'd say start with something like Spanish.,happiness,directive,relationship
Can we talk about that project now?,"I'm thinking of a road trip, actually.",sadness,question,politics
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",anger,inform,tourism
Why do you seem so distant these days?,I'd say start with something like Spanish.,anger,question,school life
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",happiness,directive,politics
What's been bothering you lately?,"Sure, let's go over the details.",anger,directive,work
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.,happiness,inform,finance
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",surprise,commissive,ordinary life
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,disgust,question,politics
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",happiness,commissive,ordinary life
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",fear,question,attitude & emotion
Can we talk about that project now?,"Honestly, I think it's going to change a lot of things.",disgust,question,culture & education
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",surprise,question,school life
What's been bothering you lately?,It's challenging but rewarding.,surprise,question,work
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",anger,directive,relationship
Have you ever been to Paris?,"If we push hard, we definitely can.",disgust,inform,ordinary life
Why do you seem so distant these days?,"I'm really sorry, something came up.",disgust,inform,ordinary life
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",disgust,question,attitude & emotion
Why didn't you call me back last night?,It's challenging but rewarding.,happiness,inform,relationship
Why do you seem so distant these days?,"If we push hard, we definitely can.",disgust,commissive,school life
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",disgust,commissive,ordinary life
Why didn't you call me back last night?,I've just had a lot on my mind recently.,surprise,inform,school life
Can we talk about that project now?,It's challenging but rewarding.,surprise,commissive,tourism
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",anger,question,health
Can we talk about that project now?,It's challenging but rewarding.,surprise,inform,school life
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,happiness,inform,school life
Why do you seem so distant these days?,"Sure, let's go over the details.",surprise,question,tourism
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",surprise,commissive,attitude & emotion
Have you ever been to Paris?,I'd say start with something like Spanish.,fear,inform,school life
Can we talk about that project now?,I've just had a lot on my mind recently.,surprise,inform,health
Why do you seem so distant these days?,"I'm really sorry, something came up.",surprise,directive,attitude & emotion
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,anger,question,culture & education
Why do you seem so distant these days?,I'd say start with something like Spanish.,happiness,inform,politics
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",happiness,commissive,ordinary life
Why didn't you call me back last night?,"I'm really sorry, something came up.",fear,directive,tourism
Have you ever been to Paris?,I'd say start with something like Spanish.,happiness,directive,culture & education
Could you share your thoughts on the recent elections?,"Yes, it's beautiful! You should definitely visit.",fear,question,tourism
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",sadness,inform,tourism
What's been bothering you lately?,"I'm really sorry, something came up.",sadness,inform,health
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",anger,question,ordinary life
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",anger,commissive,health
Do you think we'll finish this task on time?,It's challenging but rewarding.,surprise,question,attitude & emotion
Can we talk about that project now?,I've just had a lot on my mind recently.,happiness,inform,attitude & emotion
What's been bothering you lately?,"I'm thinking of a road trip, actually.",anger,question,culture & education
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,happiness,inform,ordinary life
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",sadness,commissive,school life
Can we talk about that project now?,It's challenging but rewarding.,disgust,commissive,health
Have you ever been to Paris?,"I'm thinking of a road trip, actually.",fear,inform,politics
"I heard you got a new job, how is it going?","Sure, let's go over the details.",anger,question,relationship
Why didn't you call me back last night?,"If we push hard, we definitely can.",sadness,directive,work
What's been bothering you lately?,"I'm really sorry, something came up.",disgust,inform,tourism
Have you ever been to Paris?,It's challenging but rewarding.,sadness,directive,school life
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",happiness,inform,attitude & emotion
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",anger,inform,work
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",anger,directive,finance
"I heard you got a new job, how is it going?",I'd say start with something like Spanish.,disgust,directive,politics
What are your plans for the weekend?,I've just had a lot on my mind recently.,sadness,commissive,finance
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",fear,directive,school life
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",anger,directive,attitude & emotion
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",sadness,directive,politics
Can we talk about that project now?,I'd say start with something like Spanish.,disgust,inform,politics
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",surprise,question,school life
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,disgust,directive,work
Have you ever been to Paris?,"If we push hard, we definitely can.",sadness,inform,culture & education
What are your plans for the weekend?,I've just had a lot on my mind recently.,anger,question,culture & education
What's been bothering you lately?,I've just had a lot on my mind recently.,surprise,directive,tourism
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",sadness,directive,relationship
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",disgust,inform,culture & education
"I am thinking of learning a new language, any suggestions?",I'd say start with something like Spanish.,sadness,commissive,culture & education
"I heard you got a new job, how is it going?",It's challenging but rewarding.,happiness,directive,finance
Could you share your thoughts on the recent elections?,I'd say start with something like Spanish.,sadness,question,school life
Why do you seem so distant these days?,I'd say start with something like Spanish.,sadness,commissive,tourism
What's been bothering you lately?,"Sure, let's go over the details.",disgust,directive,health
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",anger,question,finance
Why do you seem so distant these days?,I'd say start with something like Spanish.,sadness,inform,school life
Have you ever been to Paris?,I'd say start with something like Spanish.,sadness,directive,tourism
Can we talk about that project now?,I'd say start with something like Spanish.,anger,question,culture & education
What's been bothering you lately?,"If we push hard, we definitely can.",happiness,commissive,finance
What are your plans for the weekend?,"I'm not sure, maybe it's just stress.",anger,commissive,finance
Why didn't you call me back last night?,I've just had a lot on my mind recently.,fear,question,work
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",fear,question,tourism
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",happiness,commissive,attitude & emotion
Why didn't you call me back last night?,I've just had a lot on my mind recently.,surprise,commissive,work
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",disgust,directive,health
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",happiness,directive,finance
Why didn't you call me back last night?,It's challenging but rewarding.,anger,commissive,ordinary life
Can we talk about that project now?,It's challenging but rewarding.,surprise,commissive,work
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",anger,directive,culture & education
Why do you seem so distant these days?,"If we push hard, we definitely can.",surprise,commissive,relationship
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",surprise,commissive,culture & education
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",anger,directive,culture & education
What are your plans for the weekend?,I'd say start with something like Spanish.,disgust,inform,tourism
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",anger,question,politics
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",disgust,directive,politics
What's been bothering you lately?,It's challenging but rewarding.,sadness,inform,culture & education
Why do you seem so distant these days?,"Sure, let's go over the details.",surprise,question,work
Can we talk about that project now?,"Sure, let's go over the details.",disgust,inform,school life
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",sadness,question,work
Can we talk about that project now?,"Sure, let's go over the details.",happiness,inform,tourism
"I heard you got a new job, how is it going?","Sure, let's go over the details.",fear,question,tourism
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",happiness,commissive,health
"I heard you got a new job, how is it going?","Sure, let's go over the details.",surprise,inform,school life
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",disgust,commissive,school life
Why didn't you call me back last night?,"I'm really sorry, something came up.",fear,directive,work
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",anger,directive,school life
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",happiness,commissive,tourism
Have you ever been to Paris?,"If we push hard, we definitely can.",disgust,question,health
Could you share your thoughts on the recent elections?,"Yes, it's beautiful! You should definitely visit.",fear,question,work
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",sadness,inform,work
Can we talk about that project now?,"I'm thinking of a road trip, actually.",surprise,directive,culture & education
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",sadness,commissive,politics
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",anger,directive,school life
Do you think we'll finish this task on time?,"I'm thinking of a road trip, actually.",fear,commissive,health
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",happiness,inform,finance
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",happiness,question,culture & education
What's been bothering you lately?,"If we push hard, we definitely can.",happiness,question,tourism
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",anger,commissive,ordinary life
What are your plans for the weekend?,It's challenging but rewarding.,anger,question,attitude & emotion
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,anger,question,politics
Can we talk about that project now?,"If we push hard, we definitely can.",disgust,directive,relationship
Have you ever been to Paris?,"If we push hard, we definitely can.",happiness,question,finance
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,sadness,question,culture & education
Why do you seem so distant these days?,I've just had a lot on my mind recently.,sadness,question,tourism
What are your plans for the weekend?,It's challenging but rewarding.,happiness,inform,culture & education
Could you share your thoughts on the recent elections?,It's challenging but rewarding.,surprise,question,finance
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",surprise,inform,tourism
Why do you seem so distant these days?,I've just had a lot on my mind recently.,surprise,directive,health
"I heard you got a new job, how is it going?",I've just had a lot on my mind recently.,sadness,directive,finance
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",anger,directive,culture & education
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",fear,directive,health
What's been bothering you lately?,It's challenging but rewarding.,disgust,question,health
What's been bothering you lately?,"I'm really sorry, something came up.",disgust,commissive,politics
What are your plans for the weekend?,I'd say start with something like Spanish.,surprise,question,health
Why do you seem so distant these days?,"If we push hard, we definitely can.",happiness,question,politics
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,surprise,inform,relationship
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",fear,directive,finance
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",sadness,inform,relationship
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",fear,directive,tourism
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",anger,question,attitude & emotion
What's been bothering you lately?,It's challenging but rewarding.,happiness,question,finance
What's been bothering you lately?,I've just had a lot on my mind recently.,surprise,directive,work
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",disgust,inform,health
Have you ever been to Paris?,It's challenging but rewarding.,surprise,commissive,health
Do you think we'll finish this task on time?,"I'm really sorry, something came up.",disgust,directive,finance
Why didn't you call me back last night?,I'd say start with something like Spanish.,fear,inform,finance
Why do you seem so distant these days?,I've just had a lot on my mind recently.,fear,commissive,finance
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",surprise,directive,finance
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",happiness,inform,relationship
What's been bothering you lately?,I'd say start with something like Spanish.,happiness,question,culture & education
Have you ever been to Paris?,I'd say start with something like Spanish.,sadness,directive,work
Have you ever been to Paris?,I've just had a lot on my mind recently.,happiness,inform,relationship
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",happiness,commissive,finance
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",surprise,directive,tourism
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",fear,question,work
Have you ever been to Paris?,It's challenging but rewarding.,happiness,commissive,attitude & emotion
Why do you seem so distant these days?,I'd say start with something like Spanish.,anger,question,finance
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",sadness,inform,culture & education
What are your plans for the weekend?,I'd say start with something like Spanish.,disgust,inform,work
Why didn't you call me back last night?,"I'm not sure, maybe it's just stress.",fear,directive,ordinary life
Why didn't you call me back last night?,"Sure, let's go over the details.",disgust,commissive,ordinary life
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",disgust,question,attitude & emotion
"I am thinking of learning a new language, any suggestions?",I've just had a lot on my mind recently.,fear,question,school life
Can we talk about that project now?,"Sure, let's go over the details.",happiness,inform,work
"I heard you got a new job, how is it going?","Sure, let's go over the details.",fear,question,work
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",surprise,question,politics
Can we talk about that project now?,"Sure, let's go over the details.",happiness,commissive,politics
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",anger,inform,health
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",surprise,inform,attitude & emotion
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",happiness,commissive,work
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",surprise,inform,ordinary life
Why do you seem so distant these days?,I've just had a lot on my mind recently.,fear,question,tourism
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",anger,directive,ordinary life
Do you think we'll finish this task on time?,It's challenging but rewarding.,surprise,directive,finance
What's been bothering you lately?,"If we push hard, we definitely can.",happiness,question,work
What's been bothering you lately?,I'd say start with something like Spanish.,surprise,directive,finance
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",happiness,inform,relationship
Why didn't you call me back last night?,I've just had a lot on my mind recently.,disgust,inform,attitude & emotion
Why do you seem so distant these days?,I'd say start with something like Spanish.,disgust,commissive,politics
Why do you seem so distant these days?,"Sure, let's go over the details.",disgust,directive,school life
Why do you seem so distant these days?,"Sure, let's go over the details.",sadness,inform,culture & education
Why do you seem so distant these days?,I've just had a lot on my mind recently.,sadness,question,work
Why didn't you call me back last night?,"I'm really sorry, something came up.",anger,question,ordinary life
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",surprise,inform,work
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",surprise,commissive,politics
"I heard you got a new job, how is it going?","Honestly, I think it's going to change a lot of things.",happiness,question,health
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",happiness,question,school life
Can we talk about that project now?,"I'm really sorry, something came up.",disgust,commissive,culture & education
Can we talk about that project now?,I'd say start with something like Spanish.,anger,directive,tourism
Can we talk about that project now?,"Sure, let's go over the details.",sadness,question,attitude & emotion
"I am thinking of learning a new language, any suggestions?","Yes, it's beautiful! You should definitely visit.",fear,directive,work
What are your plans for the weekend?,"Sure, let's go over the details.",happiness,question,finance
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",anger,inform,relationship
Can we talk about that project now?,I've just had a lot on my mind recently.,fear,directive,culture & education
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,anger,question,health
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",fear,directive,tourism
Why do you seem so distant these days?,"Yes, it's beautiful! You should definitely visit.",surprise,commissive,culture & education
"I heard you got a new job, how is it going?",It's challenging but rewarding.,anger,commissive,attitude & emotion
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",happiness,question,politics
Why didn't you call me back last night?,I'd say start with something like Spanish.,anger,question,attitude & emotion
"I am thinking of learning a new language, any suggestions?","I'm really sorry, something came up.",fear,question,ordinary life
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",sadness,commissive,tourism
Do you think we'll finish this task on time?,"If we push hard, we definitely can.",surprise,directive,work
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",disgust,inform,ordinary life
Why didn't you call me back last night?,I've just had a lot on my mind recently.,happiness,commissive,culture & education
What's been bothering you lately?,"I'm really sorry, something came up.",surprise,directive,school life
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",happiness,commissive,politics
Why didn't you call me back last night?,"I'm thinking of a road trip, actually.",sadness,commissive,attitude & emotion
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",fear,directive,school life
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",fear,directive,health
Can we talk about that project now?,It's challenging but rewarding.,fear,question,culture & education
Why do you seem so distant these days?,"I'm not sure, maybe it's just stress.",fear,inform,attitude & emotion
Why didn't you call me back last night?,"I'm really sorry, something came up.",happiness,commissive,finance
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",happiness,directive,tourism
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",fear,directive,tourism
Can we talk about that project now?,"I'm not sure, maybe it's just stress.",fear,question,ordinary life
Why didn't you call me back last night?,"If we push hard, we definitely can.",fear,question,finance
Why do you seem so distant these days?,"Sure, let's go over the details.",fear,inform,culture & education
What are your plans for the weekend?,"I'm really sorry, something came up.",fear,inform,health
Why do you seem so distant these days?,I've just had a lot on my mind recently.,fear,question,work
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",surprise,inform,attitude & emotion
Why didn't you call me back last night?,I'd say start with something like Spanish.,fear,question,politics
Could you share your thoughts on the recent elections?,"I'm not sure, maybe it's just stress.",fear,commissive,school life
Why do you seem so distant these days?,I'd say start with something like Spanish.,sadness,inform,finance
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",sadness,question,health
Do you think we'll finish this task on time?,I've just had a lot on my mind recently.,fear,question,relationship
Why didn't you call me back last night?,"If we push hard, we definitely can.",fear,directive,culture & education
What are your plans for the weekend?,"I'm really sorry, something came up.",anger,directive,culture & education
Do you think we'll finish this task on time?,"Sure, let's go over the details.",fear,inform,school life
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",sadness,inform,culture & education
Can we talk about that project now?,"I'm really sorry, something came up.",disgust,question,politics
Why didn't you call me back last night?,"I'm really sorry, something came up.",happiness,question,tourism
What are your plans for the weekend?,"I'm thinking of a road trip, actually.",disgust,commissive,school life
Can we talk about that project now?,"I'm thinking of a road trip, actually.",happiness,directive,finance
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",disgust,commissive,finance
Can we talk about that project now?,I'd say start with something like Spanish.,anger,directive,work
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",anger,directive,finance
What's been bothering you lately?,"Yes, it's beautiful! You should definitely visit.",happiness,commissive,attitude & emotion
Have you ever been to Paris?,"I'm not sure, maybe it's just stress.",disgust,inform,ordinary life
Why do you seem so distant these days?,"Honestly, I think it's going to change a lot of things.",happiness,inform,finance
"I am thinking of learning a new language, any suggestions?",It's challenging but rewarding.,fear,question,tourism
Why didn't you call me back last night?,I've just had a lot on my mind recently.,anger,question,school life
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",surprise,question,health
What's been bothering you lately?,"Honestly, I think it's going to change a lot of things.",fear,directive,work
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",happiness,inform,health
Why didn't you call me back last night?,I'd say start with something like Spanish.,surprise,inform,attitude & emotion
"I am thinking of learning a new language, any suggestions?","I'm thinking of a road trip, actually.",happiness,commissive,school life
Could you share your thoughts on the recent elections?,"Sure, let's go over the details.",fear,inform,attitude & emotion
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",surprise,directive,relationship
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",disgust,question,relationship
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,happiness,inform,attitude & emotion
"I am thinking of learning a new language, any suggestions?","Sure, let's go over the details.",surprise,inform,ordinary life
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",fear,inform,culture & education
Do you think we'll finish this task on time?,"Honestly, I think it's going to change a lot of things.",sadness,commissive,work
Have you ever been to Paris?,"If we push hard, we definitely can.",happiness,directive,culture & education
Why do you seem so distant these days?,"I'm really sorry, something came up.",fear,inform,school life
Why do you seem so distant these days?,I've just had a lot on my mind recently.,anger,question,relationship
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",happiness,commissive,tourism
Can we talk about that project now?,It's challenging but rewarding.,surprise,question,politics
Could you share your thoughts on the recent elections?,"If we push hard, we definitely can.",happiness,question,school life
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",happiness,inform,school life
Have you ever been to Paris?,"Yes, it's beautiful! You should definitely visit.",sadness,inform,politics
What's been bothering you lately?,"I'm really sorry, something came up.",happiness,directive,ordinary life
What's been bothering you lately?,"Sure, let's go over the details.",fear,commissive,culture & education
Do you think we'll finish this task on time?,"I'm not sure, maybe it's just stress.",surprise,inform,relationship
What's been bothering you lately?,It's challenging but rewarding.,fear,inform,school life
What are your plans for the weekend?,"Honestly, I think it's going to change a lot of things.",fear,directive,work
Why do you seem so distant these days?,"If we push hard, we definitely can.",sadness,directive,tourism
What are your plans for the weekend?,It's challenging but rewarding.,disgust,commissive,relationship
Do you think we'll finish this task on time?,I'd say start with something like Spanish.,sadness,inform,politics
Have you ever been to Paris?,"Sure, let's go over the details.",sadness,question,relationship
Why didn't you call me back last night?,"Yes, it's beautiful! You should definitely visit.",happiness,directive,ordinary life
What's been bothering you lately?,It's challenging but rewarding.,happiness,directive,culture & education
What are your plans for the weekend?,I've just had a lot on my mind recently.,fear,commissive,attitude & emotion
Could you share your thoughts on the recent elections?,"I'm really sorry, something came up.",happiness,directive,work
Why didn't you call me back last night?,"Honestly, I think it's going to change a lot of things.",surprise,inform,attitude & emotion
Could you share your thoughts on the recent elections?,"I'm thinking of a road trip, actually.",disgust,commissive,work
"I heard you got a new job, how is it going?","Yes, it's beautiful! You should definitely visit.",sadness,question,ordinary life
Can we talk about that project now?,"If we push hard, we definitely can.",disgust,inform,politics
What's been bothering you lately?,"I'm not sure, maybe it's just stress.",happiness,question,politics
Have you ever been to Paris?,I'd say start with something like Spanish.,happiness,commissive,ordinary life
Why do you seem so distant these days?,I'd say start with something like Spanish.,anger,directive,culture & education
"I am thinking of learning a new language, any suggestions?","Honestly, I think it's going to change a lot of things.",fear,commissive,school life
Why didn't you call me back last night?,"I'm really sorry, something came up.",happiness,question,work
"I heard you got a new job, how is it going?","I'm really sorry, something came up.",happiness,commissive,health
Why do you seem so distant these days?,It's challenging but rewarding.,disgust,commissive,relationship
"I am thinking of learning a new language, any suggestions?","I'm not sure, maybe it's just stress.",anger,commissive,tourism
What are your plans for the weekend?,"Yes, it's beautiful! You should definitely visit.",anger,inform,ordinary life
What's been bothering you lately?,"If we push hard, we definitely can.",surprise,question,relationship
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",happiness,commissive,tourism
"I heard you got a new job, how is it going?","I'm not sure, maybe it's just stress.",happiness,inform,school life
Have you ever been to Paris?,It's challenging but rewarding.,surprise,question,culture & education
"I am thinking of learning a new language, any suggestions?","If we push hard, we definitely can.",fear,directive,school life
Can we talk about that project now?,I'd say start with something like Spanish.,disgust,directive,health
Why do you seem so distant these days?,"I'm really sorry, something came up.",fear,commissive,work
"I heard you got a new job, how is it going?","If we push hard, we definitely can.",anger,inform,attitude & emotion
Why do you seem so distant these days?,"I'm thinking of a road trip, actually.",happiness,commissive,work
Do you think we'll finish this task on time?,"Yes, it's beautiful! You should definitely visit.",anger,question,ordinary life
Have you ever been to Paris?,"Honestly, I think it's going to change a lot of things.",happiness,question,finance
"I heard you got a new job, how is it going?",It's challenging but rewarding.,disgust,directive,relationship
Could you share your thoughts on the recent elections?,"Honestly, I think it's going to change a lot of things.",anger,question,culture & education
Can we talk about that project now?,"Yes, it's beautiful! You should definitely visit.",anger,question,health
